check,table,passed,severity,summary,n_bad,n_total,bad_rate,examples,detail
temporal.common_window,(cross-table),False,error,"No common window: inventory_daily, sales_pos, replenishment_orders contributes no usable dates",3,3,1.0,"inventory_daily, sales_pos, replenishment_orders","Kaplan-Meier needs inventory, sales and replenishment observed over the same period. Without every one of them there is no window in which a spell can start, run and end."
survival.spells_constructible,(derived),False,error,No spells could be constructed,0,0,0.0,,With no spell table there is nothing for a survival estimator to consume.
structural.date_artifact,external_signals_fact,False,error,post_datetime: 13 destroyed date cell(s),13,13,1.0,########,Column overflow was baked into the export. The underlying values are gone and must be re-extracted; widen the column or export dates as ISO text.
temporal.coverage,external_signals_fact,False,error,No usable dates at all,13,13,1.0,,"Every date value is missing, destroyed or unparseable, so this table has no time dimension."
referential.forecast_option_in_product_dim,forecast,False,error,0.0% of forecast.option_uid found in product_dim (1 orphan value(s)),11,11,1.0,14_1002_BLACK,Below the 99% threshold. Rows that fail to join are dropped from the panel and their risk days vanish.
structural.date_artifact,forecast,False,error,Date: 11 destroyed date cell(s),11,11,1.0,########,Column overflow was baked into the export. The underlying values are gone and must be re-extracted; widen the column or export dates as ISO text.
referential.inventory_sku_in_product_dim,inventory_daily,False,error,0.0% of inventory_daily.sku_uid found in product_dim (3 orphan value(s)),3,3,1.0,"14_1033_TAN_41, 14_1033_TAN_43, 14_1033_TAN_45",Below the 99% threshold. Rows that fail to join are dropped from the panel and their risk days vanish.
structural.date_artifact,inventory_daily,False,error,Date: 3 destroyed date cell(s),3,3,1.0,########,Column overflow was baked into the export. The underlying values are gone and must be re-extracted; widen the column or export dates as ISO text.
survival.inventory_history,inventory_daily,False,error,No multi-date inventory history,0,3,0.0,,"A single snapshot shows a stock level, never a stock-out moment. Without repeated observations there is no duration to measure and no event to observe."
temporal.coverage,inventory_daily,False,error,No usable dates at all,3,3,1.0,,"Every date value is missing, destroyed or unparseable, so this table has no time dimension."
accounting.po_no_is_identifying,pending_orders,False,error,Po_No is a single constant value,1,1,1.0,Po_No=4500000000,Constant 4500000000 on all 16 real sample rows - not a usable key.
referential.size_scale,pending_orders,False,error,"Scales present: {'ALT': np.int64(9), 'EU': np.int64(7)}",7,16,0.4375,"83, 84, 85, 86, 87","The 28-48 EU run and the 83-90 block are different systems. Without a scale map they must not share a column, and a SKU uid built from them is not comparable."
structural.date_artifact,promotion_data,False,error,date: 12 destroyed date cell(s),12,12,1.0,########,Column overflow was baked into the export. The underlying values are gone and must be re-extracted; widen the column or export dates as ISO text.
