Brand,Country,State,City,Handle,Footwear_Type,Shoe_Type,Category,Sub_Category,Seasonality,Campaign_Name,Post_Content,Sentiment,Trend_Signal,Customer_Intent,Mention_Count,Share_of_Voice_Pct,Influencer_Mention,Competitor_Mention,page_follower_count,post_like_count,post_comment_count,engagement_rate_pct,post_datetime
Khadims,India,Telangana,Hyderabad,@khadims,CLOSE - FORMAL,Formal Shoes,CLOSE,FORMAL,Back-to-School,Back To School,Discussions increasing around close - formal products among footwear shoppers,Positive,Stable,Product Inquiry,486,1.88,No,Yes,6792765,68283,3864,4.74,########
Khadims,India,West Bengal,Kolkata,@khadims,PREMIUM OPEN - ETHNIC,Ethnic Sandals,PREMIUM OPEN,ETHNIC,Back-to-School,Run Strong,Discussions increasing around premium open - ethnic products among footwear shoppers,Positive,Trending Down,Recommendation,241,9.83,Yes,Yes,9687765,42213,1916,7.01,########
Paragon,India,Tamil Nadu,Coimbatore,@paragon,CLOSE - CANVAS,Canvas Shoes,CLOSE,CANVAS,Monsoon,Monsoon Ready,Discussions increasing around close - canvas products among footwear shoppers,Positive,Trending Down,Purchase Intent,472,25.36,No,Yes,508721,60721,1218,3.63,########
Paragon,India,Tamil Nadu,Coimbatore,@paragon,OPEN - ETHNIC,Ethnic Sandals,OPEN,ETHNIC,Winter,Street Style,Discussions increasing around open - ethnic products among footwear shoppers,Neutral,Trending Down,Complaint,230,22.12,No,No,5830417,36120,2011,6.9,########
Bata,India,Tamil Nadu,Chennai,@bata,UNISEX CLOSE - CASUAL,Casual Shoes,UNISEX CLOSE,CASUAL,Festive,Monsoon Ready,Discussions increasing around unisex close - casual products among footwear shoppers,Negative,Trending Down,Comparison,103,16.18,Yes,Yes,1160179,3868,2572,5.54,########
Red Chief,India,Telangana,Hyderabad,@redchief,CLOSE - CANVAS,Canvas Shoes,CLOSE,CANVAS,Monsoon,Festive Collection,Discussions increasing around close - canvas products among footwear shoppers,Neutral,Trending Down,Product Inquiry,198,15.7,Yes,Yes,3889878,67828,3681,0.55,########
Relaxo,India,Gujarat,Surat,@relaxo,PREMIUM OPEN - CASUAL,Slip-ons,PREMIUM OPEN,CASUAL,Back-to-School,Monsoon Ready,Discussions increasing around premium open - casual products among footwear shoppers,Positive,Trending Up,Comparison,159,20.34,No,Yes,3360080,46537,1297,7.8,########
Relaxo,India,Maharashtra,Mumbai,@relaxo,GIRLS OPEN - CASUAL,Slip-ons,GIRLS OPEN,CASUAL,Marathon Season,Festive Collection,Discussions increasing around girls open - casual products among footwear shoppers,Positive,Trending Down,Purchase Intent,110,23.56,Yes,No,5449330,39439,3369,5.48,########
Khadims,India,Telangana,Hyderabad,@khadims,GIRLS CLOSE - OCCASION,Pumps/Party Shoes,GIRLS CLOSE,OCCASION,Marathon Season,Street Style,Discussions increasing around girls close - occasion products among footwear shoppers,Neutral,Trending Down,Comparison,68,30.54,No,No,4467111,14031,3558,7.07,########
Khadims,India,Delhi,New Delhi,@khadims,BOYS CLOSE - CASUAL,Casual Shoes,BOYS CLOSE,CASUAL,Monsoon,Monsoon Ready,Discussions increasing around boys close - casual products among footwear shoppers,Neutral,Stable,Product Inquiry,129,1.17,No,No,3763964,46306,1847,1.71,########
Mochi,India,Telangana,Hyderabad,@mochi,SPORT CLOSED - OTHER SPORTS,Sports Shoes,SPORT CLOSED,OTHER SPORTS,Marathon Season,Comfort First,Discussions increasing around sport closed - other sports products among footwear shoppers,Neutral,Trending Down,Complaint,240,0.57,Yes,No,4027426,57272,3731,1.85,########
Metro,India,Maharashtra,Mumbai,@metro,OCCASION - CLOSE,Pumps/Party Shoes,OCCASION,CLOSE,Marathon Season,Comfort First,Discussions increasing around occasion - close products among footwear shoppers,Positive,Stable,Purchase Intent,277,0.19,No,No,3114751,68950,2924,5.31,########
Bata,India,Gujarat,Ahmedabad,@bata,OPEN - COMFORT,Comfort Slip-ons,OPEN,COMFORT,Winter,Back To School,Discussions increasing around open - comfort products among footwear shoppers,Neutral,Stable,Recommendation,337,31.49,Yes,Yes,2417318,73517,2832,7.63,########
